Date,Confirmed
3/12/2020,1
3/13/2020,1
3/14/2020,1
3/15/2020,1
3/16/2020,1
3/17/2020,1
3/18/2020,1
3/19/2020,2
3/20/2020,3
3/21/2020,3
3/22/2020,5
3/23/2020,7
3/24/2020,8
3/25/2020,9
3/26/2020,11
3/27/2020,12
3/28/2020,14
3/29/2020,19
3/30/2020,23
3/31/2020,40
4/1/2020,83
4/2/2020,86
4/3/2020,132
4/4/2020,161
4/5/2020,190
4/6/2020,226
4/7/2020,266
4/8/2020,305
4/9/2020,348
4/10/2020,363
4/11/2020,381
4/12/2020,381
4/13/2020,432
4/14/2020,473
4/15/2020,503
4/16/2020,534
4/17/2020,572
4/18/2020,603
4/19/2020,603
4/20/2020,722
4/21/2020,757
4/22/2020,813
4/23/2020,895
4/24/2020,955
4/25/2020,1061
4/26/2020,1097
4/27/2020,1177
4/28/2020,1259
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
