Date,Confirmed
2020-01-30T13:33:00.00+05:30,1
2020-02-02T10:39:00.00+05:30,2
2020-02-03T12:13:00.00+05:30,3
2020-03-02T14:28:00.00+05:30,5
2020-03-03T19:36:00.00+05:30,6
2020-03-10T12:00:00.00+05:30,47
2020-03-11T17:30:00.00+05:30,60
2020-03-12T11:00:00.00+05:30,73
2020-03-12T18:00:00.00+05:30,74
2020-03-13T10:00:00.00+05:30,75
2020-03-13T22:15:00.00+05:30,79
2020-03-14T09:00:00.00+05:30,83
2020-03-14T16:55:00.00+05:30,84
2020-03-15T08:55:00.00+05:30,93
2020-03-15T12:00:00.00+05:30,107
2020-03-15T17:00:00.00+05:30,107
2020-03-15T23:30:00.00+05:30,110
2020-03-16T16:00:00.00+05:30,114
2020-03-17T09:15:00.00+05:30,125
2020-03-17T10:55:00.00+05:30,125
2020-03-17T11:52:00.00+05:30,126
2020-03-17T17:15:00.00+05:30,137
2020-03-18T09:00:00.00+05:30,147
2020-03-18T17:15:00.00+05:30,151
2020-03-19T09:00:00.00+05:30,166
2020-03-19T16:30:00.00+05:30,167
2020-03-19T17:00:00.00+05:30,173
2020-03-20T09:00:00.00+05:30,195
2020-03-20T17:00:00.00+05:30,223
2020-03-21T09:00:00.00+05:30,258
2020-03-21T16:45:00.00+05:30,283
2020-03-22T09:45:00.00+05:30,324
2020-03-22T11:45:00.00+05:30,324
2020-03-22T18:30:00.00+05:30,360
2020-03-23T09:00:00.00+05:30,390
2020-03-23T10:30:00.00+05:30,390
2020-03-23T18:00:00.00+05:30,433
2020-03-23T20:15:00.00+05:30,434
2020-03-24T08:45:00.00+05:30,492
2020-03-24T17:45:00.00+05:30,519
2020-03-24T20:15:00.00+05:30,519
2020-03-25T09:15:00.00+05:30,562
2020-03-25T18:45:00.00+05:30,606
2020-03-26T10:15:00.00+05:30,649
2020-03-26T20:00:00.00+05:30,694
2020-03-27T09:15:00.00+05:30,724
2020-03-28T09:30:00.00+05:30,873
2020-03-28T17:45:00.00+05:30,909
2020-03-29T10:00:00.00+05:30,979
2020-03-29T19:30:00.00+05:30,1024
2020-03-30T10:30:00.00+05:30,1071
2020-03-30T21:30:00.00+05:30,1205
2020-03-31T20:30:00.00+05:30,1359
2020-04-01T09:00:00.00+05:30,1637
2020-04-01T19:30:00.00+05:30,1834
2020-04-02T09:00:00.00+05:30,1965
2020-04-02T18:00:00.00+05:30,2069
2020-04-03T09:00:00.00+05:30,2283
2020-04-03T18:00:00.00+05:30,2470
2020-04-04T09:00:00.00+05:30,2902
2020-04-04T18:00:00.00+05:30,3072
2020-04-05T09:00:00.00+05:30,3374
2020-04-05T18:00:00.00+05:30,3577
2020-04-06T09:00:00.00+05:30,4067
2020-04-06T18:00:00.00+05:30,4281
2020-04-07T09:00:00.00+05:30,4421
2020-04-07T18:00:00.00+05:30,4789
2020-04-08T08:00:00.00+05:30,5194
2020-04-08T17:00:00.00+05:30,5274
2020-04-09T08:00:00.00+05:30,5734
2020-04-09T17:00:00.00+05:30,5865
2020-04-10T08:00:00.00+05:30,6412
2020-04-10T17:00:00.00+05:30,6761
2020-04-11T08:00:00.00+05:30,7447
2020-04-11T17:00:00.00+05:30,7529
2020-04-12T08:00:00.00+05:30,8356
2020-04-12T17:00:00.00+05:30,8447
2020-04-13T08:00:00.00+05:30,9152
2020-04-13T17:00:00.00+05:30,9352
2020-04-14T08:00:00.00+05:30,10363
2020-04-14T17:00:00.00+05:30,10815
2020-04-15T08:00:00.00+05:30,11439
2020-04-15T17:00:00.00+05:30,11933
2020-04-16T08:00:00.00+05:30,12380
2020-04-16T17:00:00.00+05:30,12759
2020-04-17T08:00:00.00+05:30,13387
2020-04-17T17:00:00.00+05:30,13835
2020-04-18T08:00:00.00+05:30,14378
2020-04-18T17:00:00.00+05:30,14792
2020-04-19T08:00:00.00+05:30,15712
2020-04-19T17:00:00.00+05:30,16116
2020-04-20T08:00:00.00+05:30,17265
2020-04-20T17:00:00.00+05:30,17656
2020-04-21T08:00:00.00+05:30,18601
2020-04-21T17:00:00.00+05:30,18985
2020-04-22T08:00:00.00+05:30,19984
2020-04-22T17:00:00.00+05:30,20471
2020-04-23T08:00:00.00+05:30,21393
2020-04-23T17:00:00.00+05:30,21700
2020-04-24T08:00:00.00+05:30,23077
2020-04-24T17:00:00.00+05:30,23452
2020-04-25T08:00:00.00+05:30,24506
2020-04-25T17:00:00.00+05:30,24893
2020-04-26T08:00:00.00+05:30,26496
2020-04-26T17:00:00.00+05:30,26605
2020-04-27T08:00:00.00+05:30,27892
2020-04-27T17:00:00.00+05:30,28160
2020-04-28T08:00:00.00+05:30,29435
2020-04-28T17:00:00.00+05:30,29834
2020-04-29T08:00:00.00+05:30,31332
2020-04-29T17:00:00.00+05:30,31709
2020-04-30T08:00:00.00+05:30,33050
2020-04-30T17:00:00.00+05:30,33330
2020-05-01T08:00:00.00+05:30,34752
2020-05-01T17:00:00.00+05:30,34972
2020-05-02T08:00:00.00+05:30,37157
2020-05-02T17:00:00.00+05:30,37671
2020-05-03T08:00:00.00+05:30,39856
